Obcina;Ranljivostni_razred;Povrsina;Stevilo_stavb
JESENICE;B;170324.2;904
JESENICE;C;1893495.3;6956
JESENICE;D;721919.8;1475
JESENICE;E;89447.6;2218
KAMNIK;B;213429.3;1343
KAMNIK;C;2236686.7;8527
KAMNIK;D;864551.1;2580
KAMNIK;E;112151.6;2359
KO?EVJE;B;249196.7;2041
KO?EVJE;C;2187862.0;11822
KO?EVJE;D;691696.5;2425
KO?EVJE;E;313018.6;5845
KOPER;B;1036646.8;7866
KOPER;C;4630111.8;18636
KOPER;D;2596797.1;9045
KOPER;E;28855.8;753
KRANJ;B;459798.8;2604
KRANJ;C;6245367.5;24702
KRANJ;D;2250211.5;4592
KRANJ;E;298156.8;6454
KR?KO;B;258822.5;2550
KR?KO;C;1947604.5;10952
KR?KO;D;1145875.7;6367
KR?KO;E;261844.5;5623
LA?KO;B;245838.0;2632
LA?KO;C;1044946.3;5832
LA?KO;D;679393.2;3592
LA?KO;E;160351.4;3584
LENDAVA;B;308.4;7
LENDAVA;C;2615194.6;16063
LENDAVA;D;351019.0;1670
LENDAVA;E;160974.6;3817
LITIJA;B;219233.1;2336
LITIJA;C;1065763.9;5536
LITIJA;D;718778.0;4216
LITIJA;E;126162.3;3183
LJUBLJANA;B;740216.5;4659
LJUBLJANA;C;16376891.2;65684
LJUBLJANA;D;14809306.4;27541
LJUBLJANA;E;708701.5;15269
LJUTOMER;B;1970.4;14
LJUTOMER;C;1812343.3;11454
LJUTOMER;D;253614.9;1075
LJUTOMER;E;56231.2;1317
LOGATEC;B;114265.9;736
LOGATEC;C;714689.7;2966
LOGATEC;D;532761.5;1787
LOGATEC;E;62598.3;1272
MARIBOR;B;421433.8;2558
MARIBOR;C;13059597.0;65893
MARIBOR;D;6174316.3;19484
MARIBOR;E;514187.7;12419
MOZIRJE;B;326310.0;2266
MOZIRJE;C;1335521.8;6662
MOZIRJE;D;302397.5;1296
MOZIRJE;E;239154.0;4146
MURSKA SOBOTA;B;48566.7;339
MURSKA SOBOTA;C;5392728.6;33728
MURSKA SOBOTA;D;1320023.2;4264
MURSKA SOBOTA;E;540920.6;8736
NOVA GORICA;B;1213166.7;8489
NOVA GORICA;C;3502925.3;16591
NOVA GORICA;D;1767634.0;4385
NOVA GORICA;E;62245.4;1622
NOVO MESTO;B;559198.0;6800
NOVO MESTO;C;5250193.0;28816
NOVO MESTO;D;1754193.6;5975
NOVO MESTO;E;553205.6;13318
ORMO?;B;12227.1;114
ORMO?;C;1464419.4;10269
ORMO?;D;323491.6;1882
ORMO?;E;26388.5;565
POSTOJNA;B;444910.7;2703
POSTOJNA;C;1360630.4;5048
POSTOJNA;D;724134.0;2420
POSTOJNA;E;43805.5;654
PTUJ;B;84709.2;964
PTUJ;C;5474789.5;33315
PTUJ;D;1879393.4;9921
PTUJ;E;250696.3;5189
RADOVLJICA;B;410099.8;2402
RADOVLJICA;C;2526695.5;10609
RADOVLJICA;D;833025.5;2702
RADOVLJICA;E;244670.0;6110
RAVNE NA KORO?KEM;B;171392.1;863
RAVNE NA KORO?KEM;C;1707033.2;5892
RAVNE NA KORO?KEM;D;455638.8;2005
RAVNE NA KORO?KEM;E;166317.6;3114
?ENTJUR PRI CELJU;B;247871.0;2360
?ENTJUR PRI CELJU;C;1619934.7;10170
?ENTJUR PRI CELJU;D;279478.5;1406
?ENTJUR PRI CELJU;E;195795.8;3732
SEVNICA;B;248744.4;2951
SEVNICA;C;1315219.7;7479
SEVNICA;D;590019.3;4325
SEVNICA;E;195282.5;4117
SE?ANA;B;864005.3;6885
SE?ANA;C;1743675.0;8387
SE?ANA;D;775986.7;3641
SE?ANA;E;15477.5;305
?KOFJA LOKA;B;536768.6;2654
?KOFJA LOKA;C;2784381.4;10848
?KOFJA LOKA;D;917239.2;2644
?KOFJA LOKA;E;260975.1;4975
SLOVENJ GRADEC;B;416271.3;2244
SLOVENJ GRADEC;C;3686835.8;16398
SLOVENJ GRADEC;D;712129.9;2861
SLOVENJ GRADEC;E;346734.5;6077
SLOVENSKA BISTRICA;B;212008.1;1565
SLOVENSKA BISTRICA;C;2801456.1;16896
SLOVENSKA BISTRICA;D;590676.0;2733
SLOVENSKA BISTRICA;E;173775.6;3838
SLOVENSKE KONJICE;B;125538.5;1061
SLOVENSKE KONJICE;C;1704284.6;9310
SLOVENSKE KONJICE;D;461797.0;1721
SLOVENSKE KONJICE;E;88422.8;1887
?MARJE PRI JEL?AH;B;361163.3;3385
?MARJE PRI JEL?AH;C;2466109.2;14627
?MARJE PRI JEL?AH;D;1172485.0;6416
?MARJE PRI JEL?AH;E;213623.7;4472
TOLMIN;B;786863.8;6430
TOLMIN;C;861854.8;5271
TOLMIN;D;728238.0;4063
TOLMIN;E;52070.3;1612
TRBOVLJE;B;226625.6;2051
TRBOVLJE;C;1693339.2;8808
TRBOVLJE;D;1532820.4;6964
TRBOVLJE;E;137166.3;3175
TREBNJE;B;294571.1;3217
TREBNJE;C;1273283.1;7443
TREBNJE;D;918327.8;5851
TREBNJE;E;170582.8;3948
VELENJE;B;126233.8;1031
VELENJE;C;2163730.2;8294
VELENJE;D;1519857.5;2967
VELENJE;E;145297.9;3226
VRHNIKA;B;129090.0;857
VRHNIKA;C;1403517.1;6897
VRHNIKA;D;508131.0;1982
VRHNIKA;E;108729.2;2156
?ALEC;B;355603.2;2881
?ALEC;C;3102280.2;17022
?ALEC;D;1071196.2;4250
?ALEC;E;293072.1;6232
