Regija;Stopnja potresa;Ocenjen parameter
pomurska;6;0,01
pomurska;7;0,002
pomurska;8;0,0003
pomurska;9;0,00001
podravska;6;0,01
podravska;7;0,002
podravska;8;0,0003
podravska;9;0,00001
koro?ka;6;0,05
koro?ka;7;0,009
koro?ka;8;0,001
koro?ka;9;0,00001
savinjska;6;0,05
savinjska;7;0,009
savinjska;8;0,001
savinjska;9;0,00001
posavska;6;0,07692
posavska;7;0,01785
posavska;8;0,00304
posavska;9;0,00022
zasavska;6;0,07692
zasavska;7;0,01785
zasavska;8;0,00304
zasavska;9;0,00022
jugovzhodna slovenija;6;0,06
jugovzhodna slovenija;7;0,01
jugovzhodna slovenija;8;0,0025
jugovzhodna slovenija;9;0,0002
osrednjeslovenska;6;0,05
osrednjeslovenska;7;0,01176
osrednjeslovenska;8;0,00222
osrednjeslovenska;9;0,00003
gorenjska;6;0,0625
gorenjska;7;0,01538
gorenjska;8;0,0031
gorenjska;9;0,00046
gori?ka;6;0,0625
gori?ka;7;0,01538
gori?ka;8;0,0031
gori?ka;9;0,00046
primorsko-notranjska;6;0,06
primorsko-notranjska;7;0,01
primorsko-notranjska;8;0,0025
primorsko-notranjska;9;0,0002
obalno-kra?ka;6;0,05
obalno-kra?ka;7;0,009
obalno-kra?ka;8;0,001
obalno-kra?ka;9;0,00001
