Regija,Skoda6,Skoda7,Skoda8,Skoda9,Stevilo,Povrsina
Gorenjska,25555,99997,1142761,2671260.84755,92849,20642576.599999998
Goriška,24558,148172,943442,2121702.43345,73794,13756993.4
Jugovzhodna,17106,70049,760140,1785637.6775500001,101311,14201892.100000001
Koroška,10032,38282,436704,1017131.9928,39454,7662353.2
Notranjsko-kraška,10064,55744,400577,911654.0458500001,32484,6276249.8
Obalno-kraška,17685,94290,728572,1664502.38255,55518,11691556
Osrednjeslovenska,50142,171250,2555834,6145585.2038,234038,54595299
Podravska,33931,90503,1682490,4007179.2219000002,187605,33463565.599999998
Pomurska,15981,34076,774629,1841468.0252500002,98276,15012493.7
Savinjska,32676,128296,1498485,3532775.3853500006,165747,28600549.200000003
Spodnjeposavska,10162,39183,470176,1115107.5610000002,69269,9285347.8
Zasavska,3353,13732,167550,402278.02150000003,20998,3589951.5
