Identifikator ;Obcina;Leto_gradnje;Material;Povrsina
33904766;LENDAVA;2018;kovina;242734.0
31645430;LJUBLJANA;2009;beton;153914.5
21441488;LJUBLJANA;2009;beton;147285.3
20823511;MARIBOR;2000;beton;144943.1
21437810;LJUBLJANA;1976;beton;131275.2
25306143;CELJE;1995;beton;92556.1
10115213;NOVO MESTO;1976;kovina;85630.0
10029620;MARIBOR;1992;beton;72119.9
22364842;KRANJ;1974;kombinacija;67631.3
31153685;LJUBLJANA;2003;beton;66630.5
31973623;NOVO MESTO;2010;beton;64419.3
26719463;KOPER;1999;beton;63477.5
32595683;NOVO MESTO;2014;kombinacija;57791.6
10114637;NOVO MESTO;1985;kovina;57500.0
31597295;DOMŽALE;2007;kombinacija;56659.3
27625992;KRANJ;1960;kombinacija;50581.0
31697482;NOVA GORICA;2009;beton;50335.0
25307401;CELJE;2002;beton;49623.2
21435807;LJUBLJANA;1981;kombinacija;49345.9
21437395;LJUBLJANA;1980;beton;47655.9
21440793;LJUBLJANA;1996;beton;47225.5
31961475;LJUBLJANA;2010;kombinacija;46788.0
31571300;KRANJ;2007;kovina;45668.7
31872511;LJUBLJANA;2010;beton;45648.3
21429420;LJUBLJANA;1864;kombinacija;45289.0
22339928;CERKNICA;1980;kombinacija;43699.0
21406837;LJUBLJANA;1999;beton;43576.2
21441298;LJUBLJANA;1980;beton;43378.3
21437930;LJUBLJANA;1955;opeka;42903.7
31729706;MARIBOR;2006;beton;42490.5
31814419;KOPER;2010;drugo;42282.0
32023391;LOGATEC;2003;beton;41658.0
25584909;VELENJE;1977;kombinacija;41181.3
32114360;LENDAVA;2012;kombinacija;40259.9
31872410;LJUBLJANA;2010;beton;39329.5
32075868;MARIBOR;2011;kombinacija;39282.2
31848298;LAŠKO;2008;beton;38827.1
25324170;CELJE;1968;kovina;37792.0
31321709;KRANJ;2004;drugo;37787.8
31304565;KAMNIK;2006;beton;37784.7
31610441;KRANJ;2009;beton;37413.7
31684338;MARIBOR;2007;beton;37202.6
31476555;KRANJ;2005;beton;36981.0
21437971;LJUBLJANA;1974;beton;36609.2
30871733;NOVO MESTO;2005;kombinacija;36560.8
30673534;LJUBLJANA;2005;beton;36521.0
32025175;LJUBLJANA;2011;beton;35633.0
31614137;MARIBOR;2009;beton;35498.7
34019242;KRANJ;2018;NA;35406.0
31451798;KOPER;2006;beton;35370.0
25530101;RAVNE NA KOROŠKEM;1963;kombinacija;34892.4
32258381;LJUBLJANA;2008;kovina;33986.8
25038262;NOVA GORICA;1960;opeka;33930.9
31596119;LJUBLJANA;2008;beton;33375.5
23244797;MARIBOR;1969;beton;33173.0
21437800;LJUBLJANA;1980;beton;32870.0
26723096;NA;1980;beton;32612.2
10040167;MARIBOR;1900;drugo;32035.5
25546212;JESENICE;1978;kombinacija;31916.0
10262232;SLOVENSKA BISTRICA;1968;beton;31907.0
21374122;DOMŽALE;1980;kombinacija;31901.8
12003838;MARIBOR;1986;drugo;31680.0
32364330;KOPER;2010;beton;31241.9
27670023;LITIJA;1886;opeka;31113.4
31835708;PTUJ;2010;kombinacija;31057.8
31747998;VELENJE;2009;beton;31032.7
28596995;LJUBLJANA;2001;beton;30978.6
25544407;JESENICE;1976;opeka;30783.5
21430248;LJUBLJANA;1982;beton;30760.3
21430264;LJUBLJANA;1972;beton;30631.1
21442956;LJUBLJANA;1960;beton;30368.9
31915660;VELENJE;2010;beton;30247.0
21451588;LJUBLJANA;1960;opeka;30078.0
25584889;VELENJE;1963;kombinacija;29933.3
25307840;CELJE;1978;drugo;29623.4
21449709;LJUBLJANA;1986;beton;29449.6
31852220;KOPER;2010;beton;29433.8
21407900;LJUBLJANA;1949;beton;29313.2
32069522;LJUBLJANA;2012;beton;28534.1
25302302;CELJE;1982;beton;28414.8
31724237;LJUBLJANA;1980;opeka;28392.4
21442168;LJUBLJANA;1980;beton;28239.4
31697372;NOVA GORICA;1930;beton;28005.7
25545781;JESENICE;1950;kombinacija;27892.2
32328656;KOPER;2013;beton;27858.0
31907759;KOPER;2013;beton;27619.3
31552414;LJUBLJANA;2008;beton;27564.7
32313323;KOPER;2002;beton;27562.2
26043718;NOVO MESTO;2003;kovina;27550.2
25584899;VELENJE;1970;kovina;27467.5
32000180;KAMNIK;2011;beton;27368.4
30950089;LJUBLJANA;2006;beton;27189.1
21447822;LJUBLJANA;1980;beton;27077.6
10055614;MARIBOR;1949;opeka;27000.1
30904497;MARIBOR;2001;beton;26966.2
32017228;CELJE;2003;beton;26903.2
21438771;LJUBLJANA;1984;kombinacija;26527.8
21441554;LJUBLJANA;1960;beton;26361.0
25300222;CELJE;1971;beton;26277.3
25307212;CELJE;1973;beton;26190.2
10175995;NOVO MESTO;1979;kombinacija;26111.8
21415986;LJUBLJANA;1993;beton;25995.7
30950810;LJUBLJANA;2006;beton;25959.9
28577878;NOVO MESTO;2003;beton;25882.3
31446045;MARIBOR;2007;beton;25527.4
30948669;LJUBLJANA;2006;beton;25506.2
21430160;LJUBLJANA;1974;beton;25262.6
28597005;LJUBLJANA;2000;drugo;25204.8
31535730;LJUBLJANA;2008;beton;25187.6
31466778;MARIBOR;2004;beton;25151.8
28246888;PTUJ;1988;beton;25061.0
30781488;LJUBLJANA;2005;beton;24989.7
31081384;VELENJE;2003;kombinacija;24863.3
20317098;KOPER;2011;beton;24782.3
10059839;MARIBOR;1995;beton;24724.6
25545780;JESENICE;1960;kombinacija;24582.4
32617848;VELENJE;2014;beton;24532.6
31373504;CELJE;2007;beton;24466.0
10058301;MARIBOR;1972;kovina;24435.0
25353982;LAŠKO;1976;beton;24348.5
32688869;LENDAVA;2013;kombinacija;24082.2
31649369;MARIBOR;2009;beton;24062.0
21437935;LJUBLJANA;1993;beton;23977.2
32314309;RADOVLJICA;2013;kombinacija;23947.8
30207035;KAMNIK;2001;kombinacija;23902.4
20315275;KOPER;1970;kombinacija;23846.0
32490598;LAŠKO;2011;beton;23721.3
21414376;LJUBLJANA;1980;opeka;23685.3
25777849;LJUBLJANA;2000;beton;23663.4
21415973;LJUBLJANA;1965;drugo;23650.0
32493666;LJUBLJANA;2014;beton;23606.2
21392442;LJUBLJANA;1975;beton;23491.3
28239988;PTUJ;1967;beton;23458.1
31669474;KRANJ;2010;beton;23450.5
32208511;LJUBLJANA;1965;beton;23440.1
20819115;MARIBOR;2001;beton;23397.9
31481511;MARIBOR;2007;beton;23300.2
20325535;KOPER;1975;beton;23184.0
21438078;LJUBLJANA;1980;opeka;23175.0
31763771;LJUBLJANA;2009;beton;23153.3
32017718;KOPER;2008;kombinacija;23045.9
31210849;MARIBOR;2003;beton;22955.0
12003407;MARIBOR;1965;beton;22947.5
